,quantity,dates,stock_id,symbol_id
440,18040,2023-08-17,197,312
441,10000,2023-08-17,197,226
442,10000,2023-08-17,197,223
443,20956,2023-08-17,197,313
444,10448,2023-08-17,197,213
445,6595,2023-08-17,197,296
446,30747,2023-08-17,197,221
447,956,2023-08-17,197,227
448,2790,2023-08-17,197,222
449,10895,2023-08-17,197,338
450,12583,2023-08-17,197,337
451,14644,2023-08-17,197,217
452,4508,2023-08-17,197,347
453,6500,2023-08-17,197,346
454,1731,2023-08-17,197,232
455,22572,2023-08-17,197,211
456,6000,2023-08-17,197,225
457,10000,2023-08-17,197,212
458,24762,2023-08-17,19,339
459,16478,2023-08-17,19,340
460,150800,2023-08-17,19,224
461,40241,2023-08-17,19,333
462,156358,2023-08-17,19,229
463,83415,2023-08-17,19,216
464,100000,2023-08-17,19,228
465,50872,2023-08-17,19,226
466,44920,2023-08-17,19,223
467,97538,2023-08-17,19,313
468,66690,2023-08-17,19,213
469,13150,2023-08-17,19,215
470,72701,2023-08-17,19,233
471,192811,2023-08-17,19,221
472,87789,2023-08-17,19,214
473,73492,2023-08-17,19,227
474,88045,2023-08-17,19,264
475,34782,2023-08-17,19,222
476,7,2023-08-17,19,338
477,38000,2023-08-17,19,346
478,45759,2023-08-17,19,232
479,45911,2023-08-17,19,211
480,48254,2023-08-17,19,225
481,53392,2023-08-17,19,230
482,105,2023-08-17,19,219
483,132764,2023-08-17,19,212
484,6000,2023-08-17,130,339
485,7833,2023-08-17,130,340
486,27842,2023-08-17,130,218
487,13000,2023-08-17,130,224
488,60419,2023-08-17,130,215
489,43279,2023-08-17,130,214
490,6784,2023-08-17,130,227
491,592,2023-08-17,130,222
492,12500,2023-08-17,130,232
493,9000,2023-08-17,130,211
494,21490,2023-08-17,130,225
495,23802,2023-08-17,130,219
496,42500,2023-08-17,14,339
497,13546,2023-08-17,14,340
498,39104,2023-08-17,14,304
499,223135,2023-08-17,14,224
500,51474,2023-08-17,14,220
501,25500,2023-08-17,14,333
502,283723,2023-08-17,14,229
503,84749,2023-08-17,14,216
504,16022,2023-08-17,14,312
505,46427,2023-08-17,14,226
506,34720,2023-08-17,14,223
507,81152,2023-08-17,14,313
508,87380,2023-08-17,14,213
509,69503,2023-08-17,14,215
510,39175,2023-08-17,14,296
511,137000,2023-08-17,14,336
512,80856,2023-08-17,14,233
513,240342,2023-08-17,14,221
514,93921,2023-08-17,14,214
515,67783,2023-08-17,14,227
516,80259,2023-08-17,14,264
517,22304,2023-08-17,14,222
518,74637,2023-08-17,14,337
519,90984,2023-08-17,14,217
520,16509,2023-08-17,14,347
521,5000,2023-08-17,14,346
522,24633,2023-08-17,14,232
523,51282,2023-08-17,14,211
524,22500,2023-08-17,14,225
525,87448,2023-08-17,14,230
526,29000,2023-08-17,14,219
527,104127,2023-08-17,14,212
528,22110,2023-08-17,4,339
529,7300,2023-08-17,4,340
530,71848,2023-08-17,4,304
531,57889,2023-08-17,4,224
532,68815,2023-08-17,4,229
533,5680,2023-08-17,4,312
534,276222,2023-08-17,4,215
535,63830,2023-08-17,4,296
536,28004,2023-08-17,4,233
537,39681,2023-08-17,4,227
538,28209,2023-08-17,4,222
539,38384,2023-08-17,4,232
540,57283,2023-08-17,4,230
541,21246,2023-08-17,3,339
542,73808,2023-08-17,3,304
543,54000,2023-08-17,3,224
544,57627,2023-08-17,3,220
